Occupation,Probability,A_MEAN,EMPLOYEES,EDUCATION
Musical Instrument Repairers and Tuners,0.91,39110,8450,High school diploma or equivalent
Mechanical Door Repairers,0.91,43350,22670,High school diploma or equivalent
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.91,32730,21060,No formal educational credential
Gas Compressor and Gas Pumping Station Operators,0.91,62900,3460,High school diploma or equivalent
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0.91,36510,88560,High school diploma or equivalent
"Rail Yard Engineers, Dinkey Operators, and Hostlers",0.91,54640,5690,High school diploma or equivalent
"Electrical and Electronics Installers and Repairers, Transportation Equipment",0.91,61460,11680,Postsecondary nondegree award
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",0.91,39050,19690,High school diploma or equivalent
Automotive Body and Related Repairers,0.91,46460,142060,High school diploma or equivalent
"Patternmakers, Wood",0.91,59650,530,High school diploma or equivalent
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.91,36620,75610,High school diploma or equivalent
Pharmacy Technicians,0.92,34020,417860,High school diploma or equivalent
Dredge Operators,0.92,47500,1190,High school diploma or equivalent
"Painting, Coating, and Decorating Workers",0.92,33960,12200,No formal educational credential
"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",0.92,34830,40070,High school diploma or equivalent
"Combined Food Preparation and Serving Workers, Including Fast Food",0.92,22140,3676180,No formal educational credential
"Production Workers, All Other",0.92,34490,230760,High school diploma or equivalent
Cooling and Freezing Equipment Operators and Tenders,0.93,34520,8820,High school diploma or equivalent
Fiberglass Laminators and Fabricators,0.93,36170,21190,High school diploma or equivalent
"Service Unit Operators, Oil, Gas, and Mining",0.93,52780,49710,No formal educational credential
Outdoor Power Equipment and Other Small Engine Mechanics,0.93,36940,31760,High school diploma or equivalent
Locomotive Firers,0.93,69030,560,High school diploma or equivalent
Machine Feeders and Offbearers,0.93,31710,66380,No formal educational credential
"Model Makers, Metal and Plastic",0.93,56920,5210,High school diploma or equivalent
Butchers and Meat Cutters,0.93,33210,133670,No formal educational credential
"Tax Examiners and Collectors, and Revenue Agents",0.93,60500,54550,Bachelor's degree
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",0.93,40770,18330,High school diploma or equivalent
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.94,41490,11400,High school diploma or equivalent
